substation|8
collection_times|8
ref:right|8
source:description|8
source:destination|8
source:end_date|8
cycle_network|8
outdoor_seating|8
reversible:both_ways|7
roof:material|7
wikidata|7
lanes:reversible|7
wifi|7
tiger:name_direction_prefix_2|7
social_facility|7
waterway:historic|7
deciduous|7
agricultural|7
protection_title|7
psv|7
voltage-low|7
quantity|7
visibility|7
source:turn:lanes:backward|7
name:ru|7
iata|7
source:surface|7
demolished:amenity|7
industrial|7
historic:waterway|7
parking:condition:both|6
demolished:bridge|6
second_hand|6
hov:minimum|6
hoops|6
fcc:registration_number|6
display|6
bench|6
NOTE|6
owner|6
generator:output:electricity|6
name:he|6
ref:fra_crossing|5
unisex|5
parking:condition:left|5
icao|5
maxspeed:backward|5
highway:normally|5
maxspeed:advised|5
name:lt|5
drive_in|5
oneway:normally|5
local_ref|5
source:building|5
maxspeed:advisory|5
communication:radio|5
phone_1|5
heritage:operator|5
source_1|5
state|5
lanes:normally|5
source:start_date|5
source:turn:lanes:forward|5
older_ref|5
source:cycleway:left|5
artist_name|5
name:pdc|4
name:haw|4
demolished:leisure|4
name:ht|4
name:hy|4
name:ja|4
name:pl|4
cycleway:left:oneway|4
name:ml|4
name:ka|4
name:os|4
name:ko|4
name:la|4
name:fa|4
name:lv|4
name:mr|4
name:hak|4
drink:beer|4
name:es|4
name:el|4
advertising|4
est_width|4
except|4
disused:sport|4
disused:leisure|4
disused|4
handrail|4
meadow|4
min_height|4
crossing:light|4
key|4
name:ar|4
name:az|4
name:sr|4
name:bn|4
name:bg|4
name:mn|4
parking:condition:both:residents|4
road|4
unsigned|4
roof:levels|4
name:zh|4
self_service|4
name:yi|4
traffic_signals:sound|4
social_facility:for|4
name:uz|4
name:ur|4
name:uk|4
source:sidewalk:right|4
name:ta|4
tiger:name_direction_suffix_2|4
substance|4
stop|4
note:name|4
stars|4
parking:condition:both:maxstay|4
railway_name|4
place:historic|4
ownership|4
public_transport|4
parking:lane:right:capacity|4
removed:highway|4
contact:email|3
city|3
name:tr|3
source:lcn|3
name:is|3
name:fr|3
cutting|3
source:foot|3
name:eo|3
cycleway:right:oneway|3
circuits|3
old_ref:right|3
source:sidewalk:left|3
healthcare|3
name:cy|3
placement:forward|3
source:step_count|3
building_1|3
building:min_level|3
source:waterway|3
name:kw|3
name:th|3
name:lad|3
ref:fips|3
bicycle_parking|3
source:cycleway:right|3
demolished:sport|3
name:cs|3
name:ca|3
lanes:counterflow|3
oneway:bicycle|3
organic|3
fire_hydrant:class|3
noname|3
female|3
internet_access:fee|3
narrow|3
length|3
rooms|3
male|3
sac_scale|3
parking:condition:right:maxstay|3
service:bicycle:rental|3
parking:condition:right:residents|3
disused:service|3
bicycle:lanes:forward|3
mtb:scale:uphill|3
disused:amenity|3
name:af|3
fuel:diesel|3
name:arc|3
socket:type1|3
historic:highway|3
footw|3
motorroad|3
name:cv|3
toilets|3
turn:lanes:both_ways|3
timezone|3
name:sl|3
tiger:name_direction_suffix_3|3
name:nv|3
name:oc|3
name:sk|3
vehicle:lanes:forward|3
FIXME:old_railway_operator|3
ISO3166-2|3
name:szl|3
name:pt|3
service_times|2
drink:liquor|2
military|2
drink:wine|2
service:bicycle:second_hand|2
traffic_signals:direction|2
service:bicycle:retail|2
service:bicycle:repair|2
service:bicycle:pump|2
addr:housenumber_1|2
seasonal|2
levels|2
shoulder|2
socket:chademo|2
name:vi|2
disused:oneway|2
source:capacity|2
source:building:levels|2
source:boundary|2
name:no|2
name:bs|2
name:br|2
name:bpy|2
name:ug|2
source:area|2
name:be|2
source:amenity|2
name:ast|2
to|2
name:ang|2
name:an|2
vehicle:lanes:backward|2
mtb:scale|2
name:qu|2
lay|2
leaf_cycle|2
handrail:right|2
historic:man_made|2
historic:bridge|2
payment:coins|2
phone:1|2
healthcare:speciality|2
FIXME:railway|2
hazard:bicycle|2
population:date|2
fuel:cng|2
removed:bridge|2
generator:method|2
ref:nhrp|2
public_transport:version|2
FIXME:lanes|2
ramp:wheelchair|2
ref:IUCN|2
fuel:e10|2
passenger|2
nat_ref|2
old_ref:left|2
access:conditional|2
tiger:zip|2
abandoned:oneway|2
abandoned:name|2
flashing_lights|2
food|2
isced:level|2
oneway:foot|2
name:sh|2
name:scn|2
from|2
fuel|2
